
----------------------Identifiers for file birthDateToCurrentAge.py-----------------------------------

identifier = print_out_ascii, Row = 53, Col = [4, 19]
identifier = ascii_art, Row = 53, Col = [20, 29]

------------------------------------------------------------------------------------------

----------------------Identifiers for file Audio-book.py-----------------------------------

identifier = gtts, Row = 2, Col = [5, 9]
identifier = gTTS, Row = 2, Col = [17, 21]
identifier = PyPDF2, Row = 5, Col = [7, 13]
identifier = pdf_File, Row = 8, Col = [0, 8]
identifier = open, Row = 8, Col = [11, 15]
identifier = pdf_Reader, Row = 11, Col = [0, 10]
identifier = PdfFileReader, Row = 11, Col = [20, 33]
identifier = pdf_File, Row = 11, Col = [34, 42]
identifier = count, Row = 12, Col = [0, 5]
identifier = numPages, Row = 12, Col = [19, 27]
identifier = textList, Row = 13, Col = [0, 8]
identifier = i, Row = 16, Col = [4, 5]
identifier = range, Row = 16, Col = [9, 14]
identifier = count, Row = 16, Col = [15, 20]
identifier = page, Row = 18, Col = [4, 8]
identifier = getPage, Row = 18, Col = [22, 29]
identifier = i, Row = 18, Col = [30, 31]
identifier = append, Row = 19, Col = [13, 19]
identifier = extractText, Row = 19, Col = [25, 36]
identifier = textString, Row = 24, Col = [0, 10]
identifier = join, Row = 24, Col = [17, 21]
identifier = textList, Row = 24, Col = [22, 30]
identifier = print, Row = 26, Col = [0, 5]
identifier = textString, Row = 26, Col = [6, 16]
identifier = language, Row = 29, Col = [0, 8]
identifier = myAudio, Row = 32, Col = [0, 7]
identifier = gTTS, Row = 32, Col = [10, 14]
identifier = textString, Row = 32, Col = [20, 30]
identifier = language, Row = 32, Col = [37, 45]
identifier = slow, Row = 32, Col = [47, 51]
identifier = save, Row = 35, Col = [8, 12]

------------------------------------------------------------------------------------------

----------------------Identifiers for file main.py-----------------------------------

identifier = os, Row = 0, Col = [7, 9]
identifier = path, Row = 1, Col = [10, 14]
identifier = osp, Row = 1, Col = [18, 21]
identifier = util, Row = 2, Col = [5, 9]
identifier = get_baidu_poi, Row = 2, Col = [17, 30]
identifier = argparse, Row = 3, Col = [7, 15]
identifier = run, Row = 6, Col = [4, 7]
identifier = args, Row = 6, Col = [8, 12]
identifier = baidu_web_ak, Row = 7, Col = [4, 16]
identifier = ak, Row = 7, Col = [24, 26]
identifier = city_str, Row = 8, Col = [4, 12]
identifier = city, Row = 8, Col = [20, 24]
identifier = roi_key, Row = 9, Col = [4, 11]
identifier = poi, Row = 9, Col = [19, 22]
identifier = output, Row = 10, Col = [4, 10]
identifier = save, Row = 10, Col = [18, 22]
identifier = exists, Row = 11, Col = [15, 21]
identifier = output, Row = 11, Col = [22, 28]
identifier = makedirs, Row = 12, Col = [11, 19]
identifier = output, Row = 12, Col = [20, 26]
identifier = get_baidu_poi, Row = 13, Col = [4, 17]
identifier = output, Row = 13, Col = [51, 57]
identifier = print, Row = 14, Col = [4, 9]
identifier = parser, Row = 17, Col = [0, 6]
identifier = ArgumentParser, Row = 17, Col = [18, 32]
identifier = description, Row = 17, Col = [33, 44]
identifier = add_argument, Row = 18, Col = [7, 19]
identifier = str, Row = 18, Col = [33, 36]
identifier = required, Row = 18, Col = [38, 46]
identifier = help, Row = 18, Col = [53, 57]
identifier = add_argument, Row = 19, Col = [7, 19]
identifier = str, Row = 19, Col = [35, 38]
identifier = required, Row = 19, Col = [40, 48]
identifier = help, Row = 19, Col = [55, 59]
identifier = add_argument, Row = 20, Col = [7, 19]
identifier = str, Row = 20, Col = [34, 37]
identifier = required, Row = 20, Col = [39, 47]
identifier = help, Row = 20, Col = [54, 58]
identifier = add_argument, Row = 21, Col = [7, 19]
identifier = str, Row = 21, Col = [35, 38]
identifier = default, Row = 21, Col = [40, 47]
identifier = help, Row = 21, Col = [58, 62]
identifier = __name__, Row = 24, Col = [3, 11]
identifier = args, Row = 25, Col = [4, 8]
identifier = parse_args, Row = 25, Col = [18, 28]
identifier = run, Row = 26, Col = [4, 7]
identifier = args, Row = 26, Col = [8, 12]

------------------------------------------------------------------------------------------

----------------------Identifiers for file util.py-----------------------------------

identifier = requests, Row = 0, Col = [7, 15]
